code,name
ace_Arab,Acehnese (Jawi)
ace_Latn,Acehnese (Latin)
acm_Arab,Mesopotamian Arabic
acq_Arab,Taizzi-Adeni Arabic
aeb_Arab,Tunisian Arabic
afr_Latn,Afrikaans
als_Latn,Albanian (Tosk)
amh_Ethi,Amharic
apc_Arab,Levantine Arabic
arb_Arab,Modern Standard Arabic
arb_Latn,Modern Standard Arabic (Romanized)
arg_Latn,Aragonese
ars_Arab,Najdi Arabic
ary_Arab,Moroccan Arabic
arz_Arab,Egyptian Arabic
asm_Beng,Assamese
ast_Latn,Asturian
awa_Deva,Awadhi
ayr_Latn,Central Aymara
azb_Arab,South Azerbaijani
azj_Latn,North Azerbaijani
bak_Cyrl,Bashkir
bam_Latn,Bambara
ban_Latn,Balinese
bel_Cyrl,Belarusian
bem_Latn,Bemba
ben_Beng,Bengali
bho_Deva,Bhojpuri
bjn_Arab,Banjar (Jawi)
bjn_Latn,Banjar (Latin)
bod_Tibt,Lhasa Tibetan
bos_Latn,Bosnian
brx_Deva,Bodo
bug_Latn,Buginese
bul_Cyrl,Bulgarian
cat_Latn,Catalan
ceb_Latn,Cebuano
ces_Latn,Czech
chv_Cyrl,Chuvash
cjk_Latn,Chokwe
ckb_Arab,Central Kurdish
cmn_Hans,Mandarin Chinese (Simplified)
cmn_Hant,Mandarin Chinese (Traditional)
crh_Latn,Crimean Tatar
cym_Latn,Welsh
dan_Latn,Danish
dar_Cyrl,Dargwa
deu_Latn,German
dgo_Deva,Dogri
dik_Latn,Southwestern Dinka
dyu_Latn,Dyula
dzo_Tibt,Dzongkha
ekk_Latn,Estonian
ell_Grek,Greek
eng_Latn,English
epo_Latn,Esperanto
eus_Latn,Basque
ewe_Latn,Ewe
fao_Latn,Faroese
fij_Latn,Fijian
fil_Latn,Filipino
fin_Latn,Finnish
fon_Latn,Fon
fra_Latn,French
fur_Latn,Friulian
fuv_Latn,Nigerian Fulfulde
gaz_Latn,West Central Oromo
gla_Latn,Scottish Gaelic
